snail_id	date	species	colour	Parasite	Movement	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
CFP95	04/12/2023	flat	light	no	7	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
CFP96	04/12/2023	flat	light	no	8	dark	dark	dark	light	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	dark	dark	patterned	light	light	light
CFP97	04/12/2023	flat	light	no	6	light	light	light	patterned	dark	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	dark	light	light	light	light	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP98	04/12/2023	flat	light	no	8	patterned	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	dark	dark	light	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP99	04/12/2023	flat	light	no	5	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	patterned	light	light	light	patterned	dark	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP100	04/12/2023	flat	dark	no	11	patterned	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	light	light	dark	light	light	light	dark	light	dark	dark	light	light	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP101	04/12/2023	flat	dark	no	14	light	light	light	dark	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	patterned	dark	light	light	patterned	patterned	dark	dark	patterned	patterned	patterned	dark	patterned	patterned	dark	dark	dark	patterned	patterned	patterned	patterned	dark	patterned	patterned
CFP102	04/12/2023	flat	dark	no	7	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	light	dark	dark	dark	dark	light	light	light	light	light	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP103	04/12/2023	flat	dark	no	17	dark	dark	patterned	patterned	patterned	patterned	patterned	dark	patterned	dark	dark	dark	dark	dark	dark	dark	patterned	dark	patterned	patterned	patterned	dark	dark	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	dark	patterned	patterned	patterned	dark	dark	patterned	dark	dark	dark	dark	patterned	patterned	patterned
CFP104	04/12/2023	flat	dark	no	4	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
